metric,Baseline uploadée,Dernier run,delta_absolu,delta_%
faithfulness,0.930548,0.954032,0.023484,2.523689
answer_relevancy,0.824918,0.817038,-0.007879,-0.955167
hit_at_k,0.4,0.422222,0.022222,5.555556
mrr,0.388889,0.422222,0.033333,8.571429
recall_at_k,0.322222,0.344444,0.022222,6.896552
precision_at_k,0.08,0.084444,0.004444,5.555556
tool_routing_ok,0.955556,0.955556,0.0,0.0
tool_call_accuracy_ragas,0.955556,0.955556,0.0,0.0
tool_call_precision_ragas,1.0,1.0,0.0,0.0
tool_call_recall_ragas,0.977778,0.977778,0.0,0.0
tool_call_f1_ragas,0.985185,0.985185,0.0,0.0
sql_row_count,1.972222,1.945946,-0.026276,-1.332318
